epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,15306.9,1.25421,1.60882,1.53827,0.55459,0.63694,0.62816,0.31311,1.5714,2.34239,1.9951,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
64,15429.8,1.24298,1.60575,1.54297,0.5789,0.65899,0.64693,0.32039,1.55878,2.3144,1.99206,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763
65,15552.9,1.25264,1.62063,1.55295,0.61483,0.63551,0.65357,0.33042,1.54926,2.34844,1.95728,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
66,15676.4,1.25267,1.60181,1.54579,0.56899,0.64282,0.63988,0.322,1.56074,2.29072,1.98288,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
67,15799.3,1.25634,1.58537,1.53449,0.59721,0.62857,0.63802,0.32325,1.53801,2.32122,1.97415,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
68,15922.1,1.24976,1.5873,1.53964,0.6307,0.60578,0.64362,0.32245,1.5814,2.2613,1.99592,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367
69,16045.6,1.25266,1.59943,1.54589,0.61001,0.65796,0.65225,0.32017,1.56448,2.29902,1.97759,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
70,16170.2,1.2476,1.56668,1.53448,0.57748,0.66564,0.65676,0.32931,1.53576,2.28583,1.95462,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169
71,16294.1,1.2386,1.56999,1.5308,0.59112,0.65081,0.6592,0.3277,1.53549,2.29796,1.97549,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
72,16417.3,1.22793,1.53303,1.51281,0.56325,0.6752,0.66478,0.33431,1.54758,2.23166,1.97048,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971
73,16540.8,1.23546,1.58527,1.53051,0.61528,0.63843,0.66864,0.33076,1.55661,2.25289,1.97426,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
74,16664.1,1.22862,1.55679,1.51901,0.57701,0.67472,0.65996,0.33249,1.5377,2.22873,1.95582,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773
75,16787.3,1.25504,1.56376,1.53564,0.58407,0.6409,0.64062,0.32759,1.53729,2.29921,1.96779,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
76,16910.5,1.24444,1.53378,1.52222,0.53216,0.66713,0.64484,0.33623,1.51697,2.24133,1.93264,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
77,17033.8,1.22553,1.55238,1.51897,0.57178,0.65215,0.6504,0.3327,1.53004,2.26384,1.94434,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
78,17156.8,1.22834,1.54742,1.51528,0.55174,0.66291,0.64799,0.33609,1.53594,2.22353,1.9487,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377
79,17280.3,1.22403,1.5298,1.51183,0.55439,0.65517,0.64481,0.32563,1.53879,2.24034,1.95902,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
80,17403.5,1.23224,1.54404,1.52529,0.55072,0.66098,0.65627,0.32996,1.557,2.23421,1.95807,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179
81,17526.7,1.21831,1.53446,1.50866,0.54676,0.69277,0.65748,0.33073,1.55291,2.23147,1.95275,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
82,17650.2,1.22075,1.52298,1.50933,0.54082,0.66777,0.6603,0.32811,1.54446,2.21035,1.96743,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981
83,17773.3,1.20555,1.53164,1.51308,0.57862,0.65624,0.65881,0.3293,1.54558,2.22138,1.96081,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
84,17896.3,1.22623,1.53264,1.52106,0.56182,0.65547,0.6619,0.32797,1.53904,2.22657,1.97241,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783
85,18019.4,1.20989,1.51957,1.50514,0.56896,0.69394,0.67584,0.33875,1.54759,2.20184,1.98446,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
86,18142.8,1.21076,1.53049,1.50974,0.6028,0.62788,0.66248,0.33345,1.52348,2.22375,1.96377,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
87,18266.1,1.21145,1.51594,1.50278,0.5615,0.66071,0.6613,0.332,1.52267,2.18659,1.96184,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
88,18389,1.20025,1.52797,1.51082,0.58238,0.64727,0.66107,0.34048,1.5275,2.21639,1.95554,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387
89,18512,1.1951,1.49904,1.49986,0.60606,0.65891,0.66686,0.34514,1.53075,2.17095,1.96107,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
90,18635.5,1.20407,1.50201,1.50276,0.60313,0.65978,0.67084,0.34082,1.52725,2.12458,1.96314,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189
91,18755.1,1.25792,1.69768,1.59406,0.57643,0.68019,0.6799,0.34283,1.53377,2.10213,1.95094,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
92,18874,1.24619,1.67543,1.58465,0.57986,0.67216,0.66943,0.33884,1.52823,2.10091,1.96415,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05
93,18992.9,1.24246,1.66594,1.58277,0.56937,0.66704,0.65843,0.33632,1.5303,2.09872,1.96153,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
94,19111.9,1.23223,1.62197,1.57425,0.56105,0.66643,0.65573,0.33345,1.54637,2.10218,1.97688,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05
95,19230.9,1.23082,1.65819,1.56852,0.55458,0.64449,0.65586,0.34031,1.53165,2.08984,1.968,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
96,19349.8,1.19799,1.60509,1.53578,0.58494,0.68179,0.67066,0.34149,1.53307,2.0697,1.96318,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05
97,19468.6,1.2316,1.62117,1.56592,0.56382,0.67751,0.66413,0.34101,1.52122,2.09635,1.94556,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
98,19587.8,1.2011,1.6308,1.55505,0.58444,0.67756,0.66844,0.34418,1.52936,2.0695,1.95644,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05
99,19707.3,1.20492,1.60579,1.54891,0.58025,0.66774,0.66836,0.34672,1.52453,2.07565,1.95825,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
100,19826.4,1.21408,1.5885,1.5411,0.55366,0.67596,0.66294,0.34322,1.52242,2.08278,1.95842,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05
